mode,status,fail_date,years,min_mmr,min_mmr_date,min_runway,max_debt,total_interest,final_E,final_A,min_wQ,avg_wQ,cum_living,start,E_10y,y_wQ_lt_05,beta
C1,ok,,11.47,1.895,2016-02-09,45.96,0.2802,0.0402,3.6544,3.9346,0.544,0.625,0.24,2015-03-11,2.7909,0.0,0.6
C2,ok,,11.47,1.895,2016-02-09,45.96,0.2346,0.0346,3.2782,3.5128,0.488,0.609,0.24,2015-03-11,2.5109,0.0,0.6
A,ok,,11.29,,,45.81,0.0,0.0,3.8858,3.8858,0.662,0.718,0.24,2015-05-13,3.0772,0.0,0.7
B,ok,,11.29,11.711,2022-12-28,46.75,0.279,0.039,4.2178,4.4969,0.662,0.718,0.24,2015-05-13,3.2887,0.0,0.7
C1,ok,,11.29,1.875,2016-02-09,44.83,0.279,0.039,4.2178,4.4969,0.662,0.718,0.24,2015-05-13,3.2887,0.0,0.7
C2,ok,,11.29,1.875,2016-02-09,44.83,0.2348,0.0348,3.8737,4.1085,0.461,0.683,0.24,2015-05-13,3.0276,0.7,0.7
A,ok,,11.29,,,46.37,0.0,0.0,3.2588,3.2588,0.558,0.621,0.24,2015-05-13,2.6607,0.0,0.6
B,ok,,11.29,10.874,2022-12-28,47.32,0.279,0.039,3.5244,3.8034,0.558,0.621,0.24,2015-05-13,2.8322,0.0,0.6
C1,ok,,11.29,1.875,2016-02-09,45.3,0.279,0.039,3.5244,3.8034,0.558,0.621,0.24,2015-05-13,2.8322,0.0,0.6
C2,ok,,11.29,1.875,2016-02-09,45.3,0.2348,0.0348,3.3622,3.597,0.461,0.603,0.24,2015-05-13,2.7087,0.7,0.6
A,ok,,11.12,,,45.0,0.0,0.0,3.8332,3.8332,0.636,0.711,0.24,2015-07-15,3.2165,0.0,0.7
B,ok,,11.12,11.587,2022-12-28,45.92,0.2779,0.0379,4.1424,4.4203,0.636,0.711,0.24,2015-07-15,3.4354,0.0,0.7
C1,ok,,11.12,1.859,2016-02-09,44.03,0.2779,0.0379,4.1424,4.4203,0.636,0.711,0.24,2015-07-15,3.4354,0.0,0.7
C2,ok,,11.12,1.859,2016-02-09,44.03,0.2556,0.0356,3.898,4.1536,0.472,0.693,0.24,2015-07-15,3.2359,0.4,0.7
A,ok,,11.12,,,45.65,0.0,0.0,3.2208,3.2208,0.529,0.613,0.24,2015-07-15,2.7696,0.0,0.6
B,ok,,11.12,10.786,2022-12-28,46.58,0.2779,0.0379,3.4685,3.7464,0.529,0.613,0.24,2015-07-15,2.947,0.0,0.6
C1,ok,,11.12,1.859,2016-02-09,44.69,0.2779,0.0379,3.4685,3.7464,0.529,0.613,0.24,2015-07-15,2.947,0.0,0.6
C2,ok,,11.12,1.859,2016-02-09,44.69,0.2556,0.0356,3.3554,3.611,0.472,0.604,0.24,2015-07-15,2.8538,0.4,0.6
A,ok,,10.95,,,46.02,0.0,0.0,3.984,3.984,0.626,0.714,0.22,2015-09-16,3.4842,0.0,0.7
B,ok,,10.95,11.956,2022-12-28,46.96,0.2567,0.0367,4.2897,4.5465,0.626,0.714,0.22,2015-09-16,3.7224,0.0,0.7
C1,ok,,10.95,1.891,2016-02-09,45.04,0.2567,0.0367,4.2897,4.5465,0.626,0.714,0.22,2015-09-16,3.7224,0.0,0.7
C2,ok,,10.95,1.891,2016-02-09,45.04,0.2345,0.0345,4.0893,4.3238,0.471,0.696,0.22,2015-09-16,3.5505,0.4,0.7
A,ok,,10.95,,,46.5,0.0,0.0,3.3391,3.3391,0.519,0.616,0.22,2015-09-16,2.9716,0.0,0.6
B,ok,,10.95,11.093,2022-12-28,47.45,0.2567,0.0367,3.5847,3.8414,0.519,0.616,0.22,2015-09-16,3.1646,0.0,0.6
C1,ok,,10.95,1.891,2016-02-09,45.54,0.2567,0.0367,3.5847,3.8414,0.519,0.616,0.22,2015-09-16,3.1646,0.0,0.6
C2,ok,,10.95,1.891,2016-02-09,45.54,0.2345,0.0345,3.4914,3.7259,0.471,0.607,0.22,2015-09-16,3.0842,0.4,0.6
A,ok,,10.77,,,44.53,0.0,0.0,3.8958,3.8958,0.598,0.714,0.22,2015-11-18,3.4546,0.0,0.7
B,ok,,10.77,11.723,2022-12-28,45.43,0.2557,0.0357,4.1977,4.4534,0.598,0.714,0.22,2015-11-18,3.6955,0.0,0.7
C1,ok,,10.77,1.843,2016-02-09,43.57,0.2557,0.0357,4.1977,4.4534,0.598,0.714,0.22,2015-11-18,3.6955,0.0,0.7
C2,ok,,10.77,1.843,2016-02-09,43.57,0.2336,0.0336,3.922,4.1555,0.48,0.696,0.22,2015-11-18,3.4546,0.1,0.7
A,ok,,10.77,,,45.21,0.0,0.0,3.2876,3.2876,0.489,0.616,0.22,2015-11-18,2.9624,0.1,0.6
B,ok,,10.77,10.941,2022-12-28,46.12,0.2557,0.0357,3.5314,3.7871,0.489,0.616,0.22,2015-11-18,3.1587,0.1,0.6
C1,ok,,10.77,1.843,2016-02-09,44.27,0.2557,0.0357,3.5314,3.7871,0.489,0.616,0.22,2015-11-18,3.1587,0.1,0.6
C2,ok,,10.77,1.843,2016-02-09,44.27,0.2336,0.0336,3.4035,3.6371,0.48,0.607,0.22,2015-11-18,3.0461,0.2,0.6
A,ok,,10.61,,,47.41,0.0,0.0,4.1821,4.1821,0.624,0.715,0.22,2016-01-20,3.8116,0.0,0.7
B,ok,,10.61,13.368,2023-03-10,48.37,0.2546,0.0346,4.473,4.7276,0.624,0.715,0.22,2016-01-20,4.0553,0.0,0.7
C1,ok,,10.61,1.954,2016-02-09,46.42,0.2546,0.0346,4.473,4.7276,0.624,0.715,0.22,2016-01-20,4.0553,0.0,0.7
C2,ok,,10.61,1.954,2016-02-09,46.42,0.2326,0.0326,4.1315,4.3641,0.499,0.697,0.22,2016-01-20,3.7475,0.0,0.7
A,ok,,10.61,,,47.64,0.0,0.0,3.4909,3.4909,0.516,0.617,0.22,2016-01-20,3.2226,0.0,0.6
B,ok,,10.61,12.224,2023-03-10,48.61,0.2546,0.0346,3.7249,3.9795,0.516,0.617,0.22,2016-01-20,3.42,0.0,0.6
C1,ok,,10.61,1.954,2016-02-09,46.66,0.2546,0.0346,3.7249,3.9795,0.516,0.617,0.22,2016-01-20,3.42,0.0,0.6
C2,ok,,10.61,1.954,2016-02-09,46.66,0.2326,0.0326,3.5691,3.8017,0.499,0.608,0.22,2016-01-20,3.2786,0.0,0.6
A,ok,,10.43,,,47.28,0.0,0.0,3.9316,3.9316,0.626,0.722,0.22,2016-03-23,3.3645,0.0,0.7
B,ok,,10.43,13.279,2025-04-08,48.25,0.2536,0.0336,4.2219,4.4755,0.626,0.722,0.22,2016-03-23,3.5765,0.0,0.7
C1,ok,,10.43,1.947,2016-06-27,46.29,0.2536,0.0336,4.2219,4.4755,0.626,0.722,0.22,2016-03-23,3.5765,0.0,0.7
C2,ok,,10.43,1.947,2016-06-27,46.29,0.2536,0.0336,4.2219,4.4755,0.626,0.722,0.22,2016-03-23,3.5765,0.0,0.7
A,ok,,10.43,,,47.56,0.0,0.0,3.3038,3.3038,0.518,0.627,0.22,2016-03-23,2.8886,0.0,0.6
B,ok,,10.43,11.842,2025-04-08,48.54,0.2536,0.0336,3.5379,3.7914,0.518,0.627,0.22,2016-03-23,3.0613,0.0,0.6
C1,ok,,10.43,1.947,2016-06-27,46.58,0.2536,0.0336,3.5379,3.7914,0.518,0.627,0.22,2016-03-23,3.0613,0.0,0.6
C2,ok,,10.43,1.947,2016-06-27,46.58,0.2536,0.0336,3.5379,3.7914,0.518,0.627,0.22,2016-03-23,3.0613,0.0,0.6
A,ok,,10.26,,,47.15,0.0,0.0,3.9034,3.9034,0.663,0.718,0.22,2016-05-25,4.0105,0.0,0.7
B,ok,,10.26,13.333,2022-12-28,48.11,0.2525,0.0325,4.1675,4.4199,0.663,0.718,0.22,2016-05-25,4.2876,0.0,0.7
C1,ok,,10.26,1.935,2016-06-27,46.17,0.2525,0.0325,4.1675,4.4199,0.663,0.718,0.22,2016-05-25,4.2876,0.0,0.7
C2,ok,,10.26,1.935,2016-06-27,46.17,0.2083,0.0283,3.8211,4.0293,0.464,0.68,0.22,2016-05-25,3.9322,0.6,0.7
A,ok,,10.26,,,47.43,0.0,0.0,3.2723,3.2723,0.558,0.621,0.22,2016-05-25,3.3526,0.0,0.6
B,ok,,10.26,12.377,2022-12-28,48.39,0.2525,0.0325,3.4849,3.7373,0.558,0.621,0.22,2016-05-25,3.5752,0.0,0.6
C1,ok,,10.26,1.935,2016-06-27,46.45,0.2525,0.0325,3.4849,3.7373,0.558,0.621,0.22,2016-05-25,3.5752,0.0,0.6
C2,ok,,10.26,1.935,2016-06-27,46.45,0.2083,0.0283,3.3226,3.5308,0.464,0.602,0.22,2016-05-25,3.4089,0.6,0.6
A,ok,,10.09,,,49.13,0.0,0.0,3.7496,3.7496,0.63,0.712,0.22,2016-07-27,3.7623,0.0,0.7
B,ok,,10.09,12.951,2022-12-28,50.13,0.2514,0.0314,3.9906,4.242,0.63,0.712,0.22,2016-07-27,4.0028,0.0,0.7
C1,ok,,10.09,1.965,2018-12-24,48.13,0.2514,0.0314,3.9906,4.242,0.63,0.712,0.22,2016-07-27,4.0028,0.0,0.7
C2,ok,,10.09,1.965,2018-12-24,48.13,0.2514,0.0314,3.9906,4.242,0.63,0.712,0.22,2016-07-27,4.0028,0.0,0.7
A,ok,,10.09,,,49.15,0.0,0.0,3.1552,3.1552,0.523,0.614,0.22,2016-07-27,3.1693,0.0,0.6
B,ok,,10.09,12.083,2022-12-28,50.15,0.2514,0.0314,3.3492,3.6007,0.523,0.614,0.22,2016-07-27,3.363,0.0,0.6
C1,ok,,10.09,1.965,2018-12-24,48.15,0.2514,0.0314,3.3492,3.6007,0.523,0.614,0.22,2016-07-27,3.363,0.0,0.6
C2,ok,,10.09,1.965,2018-12-24,48.15,0.2514,0.0314,3.3492,3.6007,0.523,0.614,0.22,2016-07-27,3.363,0.0,0.6
